case,run,grid,threads,seed,returncode,wall_seconds,peak_rss_gb,cpu_percent,user_seconds,system_seconds,save_grf,checkpoint_level,grf_sha256,checkpoints_sha256,obs_grids_sha256,pk_arrays_sha256,grf_bytes,checkpoints_bytes
cpu-512-baseline-v2,1,512,128,13036312,0,57.16,23.92,8741.0,4920.02,76.52,True,1,6984d11e420890a368b20b22ec96cc6b7d00641722fe7f795c39f7453830eb2b,45b1b2fcc820d73accbbbf812216b20ab4ede0ba0acdcb9008ba568e0151e3de,88b03f44405b5c1eee00294a7ae0ad45f811099593f3cf5acce9ef10f12d042b,a85bd1f9f8b5eb32ffc2d5586d7ee8aad2ebd7779c8561f0d81f190b534708f1,1073748424,13975439832
cpu-512-baseline-v2,2,512,128,463840125,0,47.57,23.91,12172.0,5727.82,62.33,True,0,63ec9195091e84df7c1e3850f8471963c9422202ee36d13ba8f4f9642d455305,,ba197ce6ecc9c7e241ef382c311d9f5d7bf4d165ad32b732ed1de8f898ea8b25,fa03fe69a33f02aac9c326562531f7620d018c8abddd972f822c70dc788db626,1073748424,
cpu-512-baseline-v2,3,512,128,1098507224,0,48.92,23.92,12311.0,5944.18,77.67,True,0,e48776285c5ffc2f9e17df04bd066978184c5186cb1d6371a81709746d3136a7,,a6ba6ebd330578934b79c515cd9904c29f3f530f32b966c19e5f8c6a5e1ec9bd,2f14db62e122713a3da7a93b4ee493a03c6a460a8c53c321ddf9eb00aba6cdcd,1073748424,
cpu-512-baseline-v2,4,512,128,1431653113,0,46.62,23.93,12338.0,5680.57,70.4,True,0,6095c201b1e528fdfbf09a77e13905786e1ff12a88bca27d4a847ecb0211351d,,bab1b4952fc854381f924ce60cd92a2d00ac606bb91b31246e780b12863a88ba,4fb56391d3bc5f2e1e6e8e0ba275e8e58bcecf60fc10a3dd84bc67cce3715e46,1073748424,
cpu-512-baseline-v2,5,512,128,1531548021,0,47.47,23.93,12351.0,5796.65,66.18,True,0,0c990df293aec8d91fab2f410dc7a581d57114e86ca2ffc7cf00cdac5bc8553b,,e1a79102dee49d2e0e36b7fae7657cac6655f064d816ee1a48188f7b89eec66e,96e34903734af50d7470b344f4c440db9500597fab15f86d5f1c728ecb2a1e21,1073748424,
cpu-512-baseline-v2,6,512,128,1418225403,0,46.67,23.92,12338.0,5694.82,63.22,True,0,c2316ba7ecf8cf45e556312488d215a5e6079e785ea9c7fc4a1903accc26d957,,46a3a99432048bef03fb40fa47617afad11154fc0fb450fdea230fbeb422446e,93542acadb54a9c5a50b5f1ea5e03094ec27a355000b5fc15d0133829580fc4c,1073748424,
cpu-512-baseline-v2,7,512,128,1656013423,0,39.81,23.91,12302.0,4841.85,54.95,True,0,f4423448f719f14d39179b40b715e424fc28a3691f813367a20a6617a91f8d5c,,47e4b590dbda74cb2dddda2d80d198004a5942f82985c4207292c10a19c4aa2c,a7582f563599b10bd260a0e8c29c1ba31e369dd0e72189ca6677da88242028ac,1073748424,
cpu-512-baseline-v2,8,512,128,952067976,0,47.84,23.92,12348.0,5835.15,71.37,True,0,64c952e18bb1ae26839aa6d39c9fbdafa305fe509c3ec49d84203294cf460dac,,57d84ef77b6b31b31bd07dcca408f00dee83892d3cdc9c771a2a0a21a423ee73,20e4059ada920233bae3d5974ca4614e4744492f8181c33540550fd372405da5,1073748424,
cpu-512-baseline-v2,9,512,128,31769507,0,47.35,23.94,12270.0,5738.19,71.6,True,0,b043cc8bdc48f391cb96183214d21c74bd23061380dc5fcbcd1892dcc628c560,,c5e23c6e68c7e070eaa0564740674aaccc2112ce79d398ba7d489e45dfbe46d2,6ca8269dd00cda2c6aaa800114502cef1558ff0be1f14d22c13e7deec1698b81,1073748424,
cpu-512-baseline-v2,10,512,128,1818973056,0,49.61,23.91,12299.0,6025.85,74.87,True,0,7ba25ff7dec2b84c4337dad7cab1605f9d0371cae425a946d6a99ceb95501901,,1dbf46debd62d485acf9919a45eec69f915df266bacbda2683e7cf1af41fd4fa,e4327051b80ecee40e2279428f8de239e02403e33f6af5d7c2f82aa783522020,1073748424,
